id, 	emp_num,	 name, 		gender, 	tel, 				email, 					title,	isActive
1, 		WAP001, 	James,		1, 			19340239234, 		2489329@qq.com,			1,		1
2,		WAP002,		Henry,		2,			13245533434,		henry@163.com,			2,		1
3,		WAP003,		Sue,		2,			10384984594,		sue@gmail.com,			3,		1
4,		WAP004,		Petter,		1,			13409340523,		petter@worksap.com,		4,		1
5,		WAP005,		David,		1,			15456120237,		da@worksap.com,			4,		1
6,		WAP006,		Chris,		1,			15456120237,		chiris@worksap.com,		4,		1
7,		WAP007,		李四,		1,			15456120237,		li@worksap.com,			5,		1
8,		WAP008,		Xiao Ming,	1,			38598347837,		ming@worksap.com,		5,		1
9,		WAP009,		张三,		1,			19787483869,		san@outlook.com,		5,		1
10,		WAP010,		Fang,		2,			19787483869,		fang@outlook.com,		5,		1
